name,phone,email,address
Oxford School of English,+44 (0)1865 248484,info@oxfordschool.net,"George Street, Oxford, OX1 2PB"
PGL Travel Ltd,+44 (0)333 321 2140,enquiries@pgl.co.uk,"PGL Travel Ltd, Alton Court, Penyard Lane, Alton, Ross-on-Wye, Herefordshire HR9 5GL, UK"
PLUS Ltd,,,
Padworth College,+44 (0)118 983 2644,enquiries@padworth.com,"Padworth, Reading, Berkshire, RG7 4NR"
Peartree English Language Experience and Action,+44 7738 640872,info@peartree-english.co.uk,"Peartree English Language Experience and Action
Unit 1, Shipton Mill
Shipton Gorge
DT6 4LY"
Peartree Languages,+44 (0)1904 621550,info@peartreelanguages.com,"Peartree Languages, 13 Ogleforth, York, YO1 7FG, UK"
Pilgrims,+44 (0)1227 760022,info@pilgrims.co.uk,"Pilgrims House, 8 Vernon Place, Canterbury, Kent CT1 3HG, UK"
Plymouth Marjon University,+44 1752 636700,admissions@marjon.ac.uk,"Derriford Rd, Plymouth, Devon, PL6 8BH, UK"
Preston Academy of English,+44 (0)1772 556688,info@prestonacademy.co.uk,"Preston Academy of English, 12 St. Wilfrid Street, Preston PR1 2US, UK"
Professional Language Solutions,+44 161 835 2020,enquiries@professional-language.com,"Professional Language Solutions
Suite 704, 7th Floor
City Tower
Piccadilly Plaza
Manchester
M1 4BT"
QA Higher Education,+44 20 3929 1340,admissions@qa.com,"QA Higher Education
110 High Holborn
London
WC1V 6JS"
Queen's English Language School,+44 (0)20 7224 0737,info@queensenglish.co.uk,"Queen's English Language School, 51 Queen's Gardens, London, W2 3AF, UK"
Ratcliffe College,+44 1509 817000,enquiries@ratcliffecollege.com,"Ratcliffe College
Leicester
LE7 4SG"
Regent,+44 (0)20 7224 2000,enquiries@regent.org.uk,"Regent London, 21-23 Oxford Street, London, W1D 2DW, UK"
Regent’s University London,+44 (0)20 7487 7400,enquiries@regents.ac.uk,"Regent’s University London
Inner Circle
Regent’s Park
London
NW1 4NS"
Riversdown House,+44 1962 771111,enquiries@riversdown.net,"Riversdown House
Warnford
Near Winchester
Hampshire
SO32 3LH"
Rose of York Language School Ltd,+44 (0)20 7255 1155,info@roseofyork.london,"Rose of York Language School Ltd, 207 Hoxton Street, London, N1 5LG, UK"
SCL International College - Stay Campus London,+44 (0)20 7637 3246,info@scl-international.com,"SCL International College - Stay Campus London, 10 Great Russell Street, London, WC1B 3BQ, UK"
SKOLA English in London,+44 (0)20 7387 7575,info@skola.co.uk,"SKOLA, 52 Gloucester Place, London, W1U 8HL, UK"
STAR Exeter,+44 (0)1392 436936,info@starexeter.co.uk,"STAR Exeter, 2 Victoria Park Road, Exeter, Devon, EX2 4NT"
School of Coding & AI,,info@schoolofcoding.co.uk,"Nottingham, UK"
Select English,+44 (0)1223 360940,enquiries@selectenglish.co.uk,"Select English, 79-81 Regent Street, Cambridge, CB2 1AW, UK"
Select English Summer Courses,,,
Severnvale Academy,+44 (0)1743 359922,info@severnvale.co.uk,"Severnvale Academy, London Road, Shrewsbury, Shropshire, SY2 6PR"
Sheffield College (The),+44 (0)114 260 2600,info@sheffcol.ac.uk,"Sheffield College, Granville Road, Sheffield S2 2RL, UK"
Sheffield Hallam University,+44 (0)114 225 5555,enquiries@shu.ac.uk,"City Campus, Howard Street, Sheffield, S1 1WB"
Sherborne International,+44 1935 810518,enquiries@sherborne-international.org,"Sherborne International
Newell Grange
Sherborne
Dorset
DT9 4EZ"
Sidmouth International School,+44 (0)1395 514141,info@sidmouthinternational.com,"9-11 Primley Road, Sidmouth, Devon, EX10 9LG"
South and City College Birmingham (SCCB),+44 (0)121 694 5000,international@sccb.ac.uk,"South and City College Birmingham, Digbeth Campus, Bradford Street, Birmingham, B5 6DY, UK"
Southbourne School of English,+44 1202 441448,info@southbourneschool.co.uk,"Southbourne School of English
30 Beaufort Road
Bournemouth
Dorset
BH6 5AL"
Speak Up London,+44 (0)20 7580 9345,info@speakup.london,"Speak Up London, 76 Mortimer Street, London, W1W 7SA"
Speakeasy School of English,+44 (0)131 622 1718,hello@speakeasy.co.uk,"Speakeasy School of English, 22a Stafford Street, Edinburgh EH3 7BD, UK"
Spinnaker School of English,+44 (0)23 9281 6688,info@spinnaker.ac,"111-113 Elm Grove, Southsea, Portsmouth, PO5 1LN, UK"
St Andrew's College Language Schools,,,
St Clare's,+44 (0)1865 552031,enquiries@stclares.ac.uk,"139 Banbury Road, Oxford, OX2 7AL, UK"
St Giles Juniors UK,+44 (0)1273 227733,juniors@stgiles.co.uk,"St Giles Juniors UK, 139 Eastern Road, Brighton, BN2 0AH"
St. Brelade's College,+44 (0) 1534 739990,info@stbreladescollege.co.uk,"Le Clos de Lecq, St. Ouen, Jersey, JE3 2FB, Channel Islands"
St. Edmund's College Summer School,,,
St. Giles International,+44 (0)20 7636 1444,london@stgiles.co.uk,"75 Euston Road, London, NW1 2QS, UK"
Stafford House School of English,+44 20 7839 3881,info@staffordhouse.com,"Stafford House School of English
Southampton Place
London
WC1A 2BP"
Stafford House School of English Cambridge,+44 (0)1223 360944,cambridge@staffordhouse.com,"3 Brookside, Cambridge, CB2 1JE"
Stafford House Study Holidays  Multicentre (Head office - Canterbury,+44 (0)1227 787720,info@staffordhouse.com,"Stafford House Canterbury, 68 St. George's Lane, Canterbury, Kent, CT1 2LE, UK"
Studio Cambridge English Language Courses,+44 (0)1223 369701,enquiries@studiocambridge.co.uk,"Studio Cambridge, 6 Salisbury Villas, Station Road, Cambridge, CB1 2JF"
Studio Cambridge English Language and Activity Programmes,+44 (0)1223 366033,info@studiocambridge.co.uk,"Studio Cambridge, 6 Salisbury Villas, Station Road, Cambridge, CB1 2JF, UK"
Summer Boarding Courses,+44 (0)1243 538444,info@summerboardingcourses.co.uk,"Seaford College, Petworth, West Sussex, GU28 0NB"
Summers Abroad,,,
Suzanne Sparrow (Plymouth) Language School Ltd. Plymouth ,+44 1752 224949,info@sparrows.co.uk,"27a Houndiscombe Road, Plymouth, Devon, PL4 6EU"
Swansea University ELTS,+44 (0)1792 602060,elts@swansea.ac.uk,"Singleton Park, Swansea, SA2 8PP, UK"
TASIS The American School in England Summer Programs,+44 (0)1932 582343,summer@tasisengland.org,"Coldharbour Lane, Thorpe, Surrey, TW20 8TE"
Target English International,+44 (0)1273 728181,info@targetenglish.com,"Target English International, 14-17 Middle Street, Brighton, East Sussex BN1 1AL, UK"
The English Experience (UK) Ltd.,+44 (0)1793 750066,info@english-experience.com,"The English Experience (UK) Ltd., The Old School House, High Street, Wanborough, Swindon, Wiltshire, SN4 0AA, UK"
The Essential English Centre,+44 (0)1424 436 864,info@essentialenglish.co.uk,"25-27 Cambridge Gardens, Hastings, East Sussex, TN34 1EN, UK"
The Vici Language Academy,,,
TopUp Learning (Tti School of English),+44 (0)20 7224 1633,info@ttischool.com,"Tti School of English, 14 Inverness Street, London, NW1 7HJ, UK"
Twin English Centre Eastbourne,+44 (0)1323 412288,eastbourne@twinuk.com,"Twin English Centre Eastbourne, 10 Saffrons Road, Eastbourne, East Sussex, BN21 1DG, UK"
Twin English Centre London,+44 (0)20 7937 7761,london@twinuk.com,"309-317 Oxford Street, London, W1C 2JB"
UHI Perth,+44 1738 877000,enquiries.perth@uhi.ac.uk,"UHI Perth
Crieff Road
Perth
PH1 2NX"
UK College of English (UKCE),+44 (0)20 7242 7377,info@ukce.com,"21 Bloomsbury Square, London, WC1A 2NS, UK"
UK Language Courses (UKLC),+44 (0)330 133 4444,info@uklc.co.uk,"UK Language Courses, Head Office, 86 High Street, Thame, Oxfordshire, OX9 3EH"
UKG Languages,,,
University of Bedfordshire,+44 (0)1582 489000,admission@beds.ac.uk,"University Square, Luton, Bedfordshire, LU1 3JU"
University of Birmingham - Birmingham International Academy,+44 (0)121 414 3833,bia@contacts.bham.ac.uk,"University of Birmingham, Birmingham International Academy, Edgbaston, Birmingham, B15 2TT, UK"
University of Bradford,+44 1274 233004,enquiries@bradford.ac.uk,"University of Bradford
Richmond Road
Bradford
BD7 1DP"
University of Chichester,+44 (0)1243 816000,enquiries@chi.ac.uk,"College Lane, Chichester, West Sussex, PO19 6PE"
University of Dundee,+44 (0)1382 383000,,"University of Dundee, Nethergate, Dundee, DD1 4HN"
University of Greenwich,+44 (0)20 8331 8000,courseinfo@gre.ac.uk,"30 Park Row, Greenwich, London SE10 9LS, UK"
University of Leicester,+44 (0)116 252 2522,,"University of Leicester, University Road, Leicester, LE1 7RH"
University of Manchester,+44 (0)161 306 6000,,"Oxford Rd, Manchester M13 9PL, UK"
University of Nottingham,+44 (0)115 951 5559,international-office@nottingham.ac.uk,"University of Nottingham
University Park
Nottingham
NG7 2RD"
University of Portsmouth Pre-sessional English Unit (PSE Unit),+44 (0)23 9284 3486,pse@port.ac.uk,"University of Portsmouth Pre-sessional English Unit (PSE Unit), University House, Winston Churchill Avenue, Portsmouth PO1 2UP, UK"
University of Salford English Language Centre,+44 (0)161 295 6144,english-language@salford.ac.uk,"University of Salford English Language Centre, University House, Salford, Greater Manchester M5 4WT, UK"
University of Sheffield ELTC,+44 (0)114 222 1070,eltc@sheffield.ac.uk,"The University of Sheffield ELTC, 38 Victoria Street, Sheffield, S3 7QB, UK"
University of Worcester,+44 (0)1905 855099,internationalenquiries@worc.ac.uk,"University of Worcester, Henwick Grove, Worcester WR2 6AJ, UK"
Vacational Studies,,,
WE Bridge Academy,+44 (0)29 2022 1331,info@webridge.co.uk,"WE Bridge Academy, Sophia House, 28 Cathedral Road, Cardiff, CF11 9LJ, UK"
West College Scotland,,,
West London College (formerly Ealing,+44 (0)20 8574 2442,info@wlc.ac.uk,"West London College, Gliddon Road, London, W14 9BL"
West London English School,+44 (0)20 8567 0493,info@westlondonenglish.com,"West London English School, 28A High Street, Ealing, London, W5 5DB, UK"
Westbourne Academy,+44 (0)1202 397799,info@westbourneacademy.com,"Westbourne Academy, 26-28 Alum Chine Road, Bournemouth, Dorset, BH4 8ND, UK"
Westerfield College,,,
Weymouth English Centre,+44 (0)1305 770777,info@weymouthenglishcentre.co.uk,"Weymouth English Centre, 133 Abbotsbury Road, Weymouth, Dorset, DT4 0LY"
Wimbledon School of English,+44 (0)20 8947 9921,courses@wimbledon-school.ac.uk,"41 Worple Road, Wimbledon, London, SW19 4JZ, UK"
Wimbledon School of English Young Learners,,,
Windsor English,+44 1753 622261,info@windsorenglish.co.uk,"Windsor English
42a High Street
Datchet
Slough
Berkshire
SL3 9EH"
York Associates,+44 (0) 1904 624141,info@york-associates.com,"York Associates, 17 High Petergate, York YO1 7EN, UK"
Yorkshire College,,,
Yorkshire English School (YES),+44 (0)1904 625933,info@yorkshire-english.com,"Yorkshire English School, 42 Goodramgate, York, YO1 7LF, UK"
